meter,Phase,status,Notes
10065122,C,0,Long term verified disconnected
10065242,C,0,Long term verified disconnected
10004315,C,0,Long term verified disconnected
10029326,C,0,Long term verified disconnected
10030531,C,0,Long term verified disconnected
10005263,C,0,Long term verified disconnected
10065321,C,0,Long term verified disconnected
10065275,C,0,Long term verified disconnected
10070811,C,0,Long term verified disconnected
10065341,C,0,Long term verified disconnected
10035714,C,0,Long term verified disconnected
10007003,C,0,Long term verified disconnected
10029386,C,0,Long term verified disconnected
10006861,C,0,Long term verified disconnected
10065356,C,0,Long term verified disconnected
10065274,C,0,Long term verified disconnected
10066267,C,0,Long term verified disconnected
10006464,C,0,Long term verified disconnected
10004980,C,0,Long term verified disconnected
10029746,C,0,Long term verified disconnected
10029331,B,0,Long term verified disconnected
10029331,C,0,Long term verified disconnected
10029333,C,0,Long term verified disconnected
10004948,C,0,Long term verified disconnected
10029335,C,0,Long term verified disconnected
